row_type,step,group,term,raw,reference,fulfillment,discounted_sum,fpl_score
perstep,2,posture,right_knee_joint,0.059576,0.000000,0.979313,,
perstep,2,posture,right_ankle_pitch_joint,-0.018820,0.000000,0.978434,,
perstep,2,posture,right_ankle_roll_joint,0.008799,0.000000,0.966389,,
perstep,2,posture,waist_yaw_joint,-0.007553,0.000000,0.997115,,
perstep,2,posture,waist_roll_joint,0.009669,0.000000,0.981407,,
perstep,2,posture,waist_pitch_joint,0.001768,0.000000,0.996599,,
perstep,2,posture,left_shoulder_pitch_joint,0.152889,0.200000,0.985677,,
perstep,2,posture,left_shoulder_roll_joint,0.146516,0.200000,0.973930,,
perstep,2,posture,left_shoulder_yaw_joint,-0.008968,0.000000,0.996574,,
perstep,2,posture,left_elbow_joint,1.225833,1.280000,0.976724,,
perstep,2,posture,left_wrist_roll_joint,0.020996,0.000000,0.989354,,
perstep,2,posture,left_wrist_pitch_joint,-0.005289,0.000000,0.996724,,
perstep,2,posture,left_wrist_yaw_joint,0.006881,0.000000,0.995738,,
perstep,2,posture,right_shoulder_pitch_joint,0.147745,0.200000,0.984113,,
perstep,2,posture,right_shoulder_roll_joint,-0.146408,-0.200000,0.973877,,
perstep,2,posture,right_shoulder_yaw_joint,-0.002538,0.000000,0.999031,,
perstep,2,posture,right_elbow_joint,1.224719,1.280000,0.976246,,
perstep,2,posture,right_wrist_roll_joint,-0.022389,0.000000,0.988648,,
perstep,2,posture,right_wrist_pitch_joint,-0.000429,0.000000,0.999735,,
perstep,2,posture,right_wrist_yaw_joint,-0.000351,0.000000,0.999783,,
perstep,3,orientation,orientation_rz,0.999343,1.000000,1.000000,,
perstep,3,height,torso_height,0.979284,0.900000,0.911906,,
perstep,3,posture,left_hip_pitch_joint,0.016994,0.000000,0.994099,,
perstep,3,posture,left_hip_roll_joint,0.004958,0.000000,0.998329,,
perstep,3,posture,left_hip_yaw_joint,0.007554,0.000000,0.997261,,
perstep,3,posture,left_knee_joint,0.098439,0.000000,0.965817,,
perstep,3,posture,left_ankle_pitch_joint,-0.005026,0.000000,0.994241,,
perstep,3,posture,left_ankle_roll_joint,0.002149,0.000000,0.991793,,
perstep,3,posture,right_hip_pitch_joint,0.018717,0.000000,0.993501,,
perstep,3,posture,right_hip_roll_joint,0.016839,0.000000,0.994325,,
perstep,3,posture,right_hip_yaw_joint,0.049452,0.000000,0.982067,,
perstep,3,posture,right_knee_joint,0.092751,0.000000,0.967792,,
